fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1053,583,119.566,76.392,0,.046653144,0,.21667343,90.811356,0,3.4813387,.1684193,.10461461,0,1978,2185.980987762238,,35.58303911713287,,,,,
1053,444,94.494,55.457,0,0,0,.22354546,94.375,0,2.9547727,.1687479,.10731819,0,2002,1426,21080,9.333,12.771,-3.438,1.699,223082.95,-36383.262
1055,904,94.97,47.448,.038022812,0,.20912547,.27456275,66.178711,.049429659,2.1418252,.078014202,.1658365,0,1997,2457.710857262628,27523.52536155942,59.93629176273318,48.23680266191574,11.69948910081744,.18326472,289812.84,123191.42
1055,774,85.821,48.161,.029673591,0,.231454,.27703264,60.69733,.038575668,2.101187,.078014202,.16658753,0,1992,1762.542476851852,18336.22453703704,39.30843194444444,33.26663391203704,6.041798032407407,.27588668,213656.61,70399.992
1055,942,110.879,56.998,.024509804,0,.21568628,.27941176,64.191177,.031862747,2.107353,.0771631,.16651961,0,1978,1712.844624125874,,47.08616695804196,,,,,
1055,928,100.517,47.478,.025445292,0,.19847329,.27244276,66.005089,.033078879,2.172519,.077588648,.16550891,0,1987,1460.388387978142,25135.17540983607,35.77169453551912,32.10010464480875,3.671589890710382,.30146283,250058.95,36527.055
1055,974,90.10899999999999,44.547,.038022812,0,.20912547,.27456275,66.178711,.049429659,2.1418252,.078014202,.1658365,0,2002,2856,30537,47.729,33.553,14.176,.58700001,338889.56,157320.58
1055,998,117.624,63.602,.024509804,0,.21568628,.27941176,64.191177,.031862747,2.107353,.0771631,.16651961,0,1982,1451.685527574115,,36.9474705132292,,,,,
1061,1040,218.278,142.389,0,.20934159,.0061902083,.19963984,82.473831,.029262802,5.6981993,.1825054,.095776588,0,1978,1387.563374125874,,98.41463833041959,,,,,
1061,998,227.324,114.596,0,.17101081,0,.20469168,78.983475,.031150667,5.4418311,.1776458,.095222503,0,2002,1513,48293,102.886,82.14700000000001,20.739,4.8699999,212441.27,91231.016
1061,940,215.894,139.431,0,.20934159,.0061902083,.19963984,82.473831,.029262802,5.6981993,.1825054,.095776588,0,1982,1177.939113802996,,73.17988221230475,,,,,
1061,881,200.162,134.985,0,.21193667,.0066991472,.19929354,82.826431,.020706456,5.7062726,.1800756,.095803894,0,1987,1042.321994535519,42749.42172131148,75.94304016393443,66.56498620218579,9.378053961748634,2.1486337,213574.11,46852.32
1061,806,195.536,120.851,0,.19240049,.0066344994,.20034982,80.248489,.031363089,5.5920987,.1776458,.096447527,0,1992,989.095949074074,40109.58761574074,96.72418680555555,75.67728518518518,21.04690162037037,1.3481101,205126.36,107636.97
1061,872,206.615,119.592,0,.17101081,0,.20469168,78.983475,.031150667,5.4418311,.1776458,.095222503,0,1997,1331.941836093062,42964.6692517292,117.9843023475162,97.29393313770697,20.69036920980927,1.7344698,207945.55,100139.73
1067,346,150.838,85.16,.027027028,.12,.052972972,.19751352,114.80216,.083243243,7.5073514,.10674,.093594596,0,2002,1199,27531,26.164,32.618,-6.454,2.6300001,182520.31,-42787.625
1067,559,190.451,104.387,.026096033,.14196242,.063674323,.1955428,108.0668,.10438413,7.658977,.1064649,.092870563,0,1978,1278.37805944056,,60.59330026223777,,,,,
1067,421,171.444,101.098,.02631579,.13052632,.064210527,.19790526,108.93474,.085263155,7.3961053,.10660245,.093142107,0,1987,932.8284153005465,30713.6599726776,41.30325327868853,33.3386618852459,7.964591393442623,1.7220354,179146.89,46455.934
1067,357,166.949,103.808,.028248588,.12542373,.055367231,.19776271,110.43842,.065536723,7.2489266,.10674,.093598872,0,1992,903.5590277777777,29629.50763888889,49.60177638888889,36.68690601851851,12.91487037037037,1.1686031,177476.41,77358.18
1067,334,153.529,89.53700000000001,.027027028,.12,.052972972,.19751352,114.80216,.083243243,7.5073514,.10674,.093594596,0,1997,918.5053447914484,25102.90379375393,29.67034070425488,25.46943324250681,4.200907461748061,.75814867,163505.94,27362.307
1067,475,194.66,105.398,.026096033,.14196242,.063674323,.1955428,108.0668,.10438413,7.658977,.1064649,.092870563,0,1982,1240.983742429072,,54.72771485495697,,,,,
1069,753,191.81,134.033,0,.50256038,.012435991,.17290416,76.316017,.10021946,7.378932,.15188169,.083931968,0,1992,1309.558217592593,48841.58206018518,68.14521712962963,53.55454594907408,14.59067118055555,.93126822,254635.22,76068.352
1069,1113,230.308,151.684,0,.52589929,.021582734,.16936691,77.427338,.19856115,7.458921,.1524194,.084003597,0,1978,1642.329108391609,,80.75163898601399,,,,,
1069,700,188.413,117.599,0,.50594354,.012630015,.17256315,76.814262,.10029718,7.3888559,.15188169,.083952449,0,2002,1342,43962,39.587,46.682,-7.095,4.3930001,233327.84,-37656.637
1069,862,207.817,141.755,0,.52861035,.020435967,.1684128,77.342644,.093324251,7.6368527,.15215056,.084063351,0,1987,1137.595628415301,43743.39590163934,53.36318893442623,39.78171912568306,13.58146980874317,1.9523984,210489.98,65353.027
